,District,VDC,Direction,Bedroom,Bathroom,Living,Parking_sqft,Road_size_ft,Land_sqft,Price
620,Kathmandu,"Maitidevi, Ghattekulo",North East,4,4,15,85.0,8.0,1026.72,36700000.0
622,Kathmandu,"Nepaltar Nearby Sesmati Bridge, Kathmandu Metro City",North,8-12,4,14,22.0,11.0,1026.72,21600000.0
624,Kathmandu,Thali,East,2,1,1,170.0,12.0,85.56,15000000.0
626,Kathmandu,Bhaisipati,East,5,2,10,85.0,12.0,342.24,61750000.0
628,Kathmandu,"Nepaltar, Sesmati",East,1,1,13+,22.0,11.0,1026.72,21900000.0
630,Kathmandu,Birendra Chowk,East,8-12,8-10,15,85.0,16.0,13689.6,50000000.0
632,Kathmandu,"Ram Mandir, Kapan",North,5,5,2,85.0,,2053.44,38000000.0
634,Kathmandu,Maitidevi Nearby Ghattekulo Tarkari Bazar,South,5,3,9,22.0,8.0,1026.72,30000000.0
636,Kathmandu,"Shantinagar Gate, Baneshwor",South,8-12,1,11,85.0,10.0,1026.72,46000000.0
638,Kathmandu,Kumaarigal,East,5,4,15,22.0,8.0,256.68,30000000.0
640,Kathmandu,Thapa Gau,North East,4,2,7,22.0,26.0,32085.0,24000000.0
642,Kathmandu,Sitapaila,South,4,5,1,170.0,20.0,2633.96,62500000.0
644,Kathmandu,Near By Godam Chok,East,4,2,8,85.0,10.0,21390.0,16000000.0
646,Kathmandu,"Sundarbasti, Bhangal",East,1,1,13+,85.0,20.0,1711.2,39900000.0
648,Kathmandu,Dhalmal Pul,South West,7,3,11,85.0,12.0,25668.0,27500000.0
650,Kathmandu,Phutung,North East,4,2,7,22.0,,1368.96,5500000.0
652,Kathmandu,Koteshwor,South,5,5,13+,22.0,6.0,1368.96,41500000.0
654,Kathmandu,"Shankhamul, Aaloknagar Binayak Marg",South East,4,3,1,85.0,10.0,1026.72,31500000.0
656,Kathmandu,Dhumbarahi,North,8-12,7,15,170.0,13.0,1882.32,65000000.0
658,Kathmandu,Dhumbhari Chook,South,8-12,5,1,425.0,16.0,2224.56,67500000.0
660,Kathmandu,"Chunikhel, Budhanilkantha",South East,6,5,11,85.0,13.0,12320.64,30000000.0
662,Kathmandu,Phutung Nearby Woda Karyalaya Ekantapur,East,2,1,4,85.0,8.0,2053.44,10000000.0
664,Kathmandu,Pepsicola,North East,6,5,10,85.0,12.0,342.24,23500000.0
666,Kathmandu,Tahachal,East,1,1,8,170.0,8.0,8213.76,52500000.0
668,Kathmandu,"Chunikhel, Budhanilkantha Nearby Peak Point School",South West,4,3,9,22.0,10.0,10951.68,19500000.0
670,Kathmandu,Dhapasi Height,West,8-12,5,1,170.0,15.0,21.39,36000000.0
672,Kathmandu,"Tarkeshwor-08, Nepaltar, Sesmati",East,8-12,6,14,22.0,10.0,1026.72,17000000.0
674,Kathmandu,Jorpati,South East,8-12,5,15,22.0,12.0,34224.0,35000000.0
676,Kathmandu,"Chandragiri, Thankot Ward No.6",South,3,1,4,85.0,22.0,20534.4,11500000.0
678,Kathmandu,"Kalanki, Kirtipur Ward No.2",East,8-12,7,15,85.0,14.0,1026.72,35000000.0
680,Kathmandu,"Manamaiju Mandir, Tarkeshwor",East,8-12,6,1,85.0,11.0,4106.88,28000000.0
682,Kathmandu,"Balaju , Naya Buspark, Tarkeshwor Nearby Jay Nepal Chowk",West,8-12,8-10,15,85.0,26.0,20534.4,28000000.0
684,Kathmandu,"Thankot, Radhakrishna Marg Within 500 Meters From Main Road",West,5,1,6,85.0,,4106.88,16500000.0
686,Kathmandu,Swoyambhu,East,8-12,3,12,85.0,12.0,342.24,75000000.0
688,Kathmandu,"Ramkot, Dadapauwa, Civil Home Colony",East,1,1,1,170.0,16.0,10951.68,28000000.0
690,Kathmandu,Thankot,West,7,2,1,22.0,,1026.72,13500000.0
692,Kathmandu,Thankot,North,6,3,1,85.0,11.0,1155.06,17000000.0
694,Kathmandu,Thankot,North East,4,4,9,22.0,13.0,12320.64,17000000.0
696,Kathmandu,Kadaghari,West,4,1,1,85.0,30.0,12320.64,22000000.0
698,Kathmandu,Kapan,South East,6,3,3,425.0,13.0,20534.4,32500000.0
700,Kathmandu,Nayapati Daxhi,South,8-12,4,1,85.0,,16427.52,28000000.0
702,Kathmandu,Thamel,East,8-12,8-10,15,425.0,20.0,342.24,280000000.0
704,Kathmandu,Bouddh,East,1,1,14,22.0,10.0,1368.96,35000000.0
706,Kathmandu,Narayanthan,South,6,3,8,170.0,13.0,342.24,51500000.0
708,Kathmandu,"Rudranagar Marg, Battisputali",West,6,1,10,22.0,20.0,342.24,33000000.0
710,Kathmandu,"Chandragiri-06, Radhekrishna Tole",West,6,1,11,22.0,20.0,1711.2,26700000.0
712,Kathmandu,"Paiyatar, Kapan, Budhanilkantha",East,7,3,11,85.0,,16427.52,28500000.0
714,Kathmandu,"Gurung Tole Nearby Aani Gumba, Kapan",North East,2,4,1,22.0,16.0,27379.2,18000000.0
716,Kathmandu,"Tarkeshwor-04, Sesmati",West,1,1,1,22.0,3.0,1518.69,12000000.0
718,Kathmandu,Chappal Karkhana,South,4,4,5,85.0,16.0,1026.72,35000000.0
720,Kathmandu,Sanobharyang,West,7,5,1,170.0,16.0,2909.04,85000000.0
722,Kathmandu,Kathmandu,West,4,2,1,22.0,16.0,855.6,17000000.0
724,Kathmandu,Dhapasi,West,5,3,9,85.0,13.0,1026.72,29500000.0
726,Kathmandu,"Jalpa Chowk, Gongbu",South,1,1,11,850.0,13.0,1368.96,29000000.0
728,Kathmandu,Tahachal,East,1,1,1,85.0,8.0,342.24,15500000.0
730,Kathmandu,"Khahare, Kadaghari, Nearby Aksharaa School",South,5,1,9,85.0,10.0,1026.72,17200000.0
732,Kathmandu,"Kadaghari, Hanuman Mandir",East,6,1,12,850.0,13.0,342.24,32500000.0
734,Kathmandu,"Narephat, Jadibuti",East,1,1,9,22.0,28.0,342.24,27000000.0
736,Kathmandu,"Budhanilkantha, Dulal Tole",East,5,3,9,425.0,14.0,342.24,25500000.0
738,Kathmandu,Kapan,South East,1,1,1,85.0,10.0,1368.96,29000000.0
740,Kathmandu,"Paradise Colony, Bhangal",South East,3,3,7,170.0,13.0,8213.76,27500000.0
742,Kathmandu,Nayabasti,East,6,5,10,170.0,20.0,1625.64,38500000.0
744,Kathmandu,"Besigaun, Jorpati",South,5,2,6,85.0,12.0,342.24,28500000.0
746,Kathmandu,Bafal,East,6,5,8,425.0,12.0,3015.99,58000000.0
748,Kathmandu,Samakhusi,West,5,3,8,22.0,20.0,5475.84,160000000.0
750,Kathmandu,"Tribhuwan Park , Thankot",North East,5,4,1,170.0,13.0,1368.96,20500000.0
752,Kathmandu,Nayabasti,South,1,1,8,22.0,10.0,106.95,23500000.0
754,Kathmandu,Naikap,East,3,3,8,85.0,13.0,85.56,26000000.0
756,Kathmandu,Gokarna,East,2,1,4,85.0,13.0,1026.72,13000000.0
758,Kathmandu,Jorpati,South East,6,3,11,85.0,13.0,1155.06,27000000.0
760,Kathmandu,Kalikasthan,East,3,2,5,22.0,,2737.92,25000000.0
762,Kathmandu,"Bhetghat Chowk Bansbari , Dhapasi Marga",South,4,4,1,170.0,10.0,2395.68,50000000.0
764,Kathmandu,"Chamati, Banasthali",West,1,1,1,425.0,26.0,3088.5,140000000.0
766,Kathmandu,Sitapaila,West,2,2,2,22.0,,21.39,16000000.0
768,Kathmandu,Jorpati,East,2,1,5,85.0,,32085.0,17500000.0
770,Kathmandu,Kageshwori Manohara,North,6,3,11,85.0,13.0,8213.76,27000000.0
772,Kathmandu,Samakhusi,East,8-12,5,1,425.0,20.0,42780.0,92500000.0
774,Kathmandu,Panipokhari Heights,North,4,1,5,170.0,20.0,1450.03,67500000.0
776,Kathmandu,Samakhusi Chowk,East,7,4,2,170.0,10.0,21.39,45000000.0
778,Kathmandu,"Taukhel, Godawari",East,5,5,8,85.0,6.0,21.39,30000000.0
780,Kathmandu,Mulpani,East,4,3,8,22.0,10.0,21390.0,16000000.0
782,Kathmandu,Gothatar,East,4,3,8,85.0,13.0,1026.72,17500000.0
784,Kathmandu,Kapan,West,3,3,2,85.0,20.0,1026.72,18500000.0
786,Kathmandu,Deuwa Chowk,East,8+,4,11,255.0,12.0,2737.92,55000000.0
788,Kathmandu,Sukedhara,North,1,3,1,85.0,12.0,1368.96,49500000.0
790,Kathmandu,Bishalnagar,South,5,3,6,22.0,16.0,2737.92,100000000.0
792,Kathmandu,Khusibu Townplanning,South,8+,5+,12,255.0,16.0,2481.24,105000000.0
794,Kathmandu,Sukhedhara,East,4,3,4,255.0,12.0,2395.68,70000000.0
796,Kathmandu,Sanepa,East,6,4,9,255.0,13.0,3080.16,77000000.0
798,Kathmandu,Seti Opi Marga,East,8+,5+,13+,85.0,20.0,342.24,45000000.0
800,Kathmandu,Panchakanya Marga Kapan  Near Nabil Bank,North,2,2,1,85.0,10.0,16427.52,26000000.0
802,Kathmandu,"Kohinoor Housing, Bafal",South,4,3,5,85.0,14.0,1368.96,42000000.0
804,Kathmandu,Koteswore Mahadevsthan,East,6,4,1,255.0,20.0,5818.08,160000000.0
806,Kathmandu,Kapan,South East,5,3,10,85.0,10.0,342.24,23500000.0
808,Kathmandu,Kapan,East,5,3,10,85.0,10.0,1368.96,26500000.0
810,Kathmandu,Sitapaila,East,6,4,10,170.0,10.0,32085.0,35500000.0
812,Kathmandu,Futung,South East,2,1,4,170.0,16.0,21.39,150000000.0
814,Kathmandu,Near Grande Hospital,West,3,4,8,85.0,13.0,,30000000.0
816,Kathmandu,3 Aana,West,6,3,9,85.0,13.0,1026.72,19500000.0
818,Kathmandu,Balkhu,North,3,3,1,85.0,5.0,64.17,22350000.0
820,Kathmandu,Goldhunga,West,8+,4,15,85.0,10.0,32085.0,29500000.0
822,Kathmandu,Matatirtha,North East,8+,5+,15,22.0,,4791.36,38000000.0
824,Kathmandu,"Lambagar, Sesmati",North,3,1,4,85.0,10.0,1026.72,12700000.0
826,Kathmandu,Jorpati,South,3,3,3,22.0,10.0,342.24,14300000.0
828,Kathmandu,Old Baneshwor Height,West,8+,5+,1,255.0,20.0,6502.56,200000000.0
830,Kathmandu,Grande Villa,North,4,3,6,170.0,20.0,342.24,39500000.0
832,Kathmandu,Koteshwor,East,1,4,9,22.0,10.0,1026.72,41500000.0
834,Kathmandu,Kageshwori Manohara,East,6,3,11,85.0,20.0,342.24,24000000.0
836,Kathmandu,Tinkune,South,8+,5+,15,255.0,20.0,4106.88,120000000.0
838,Kathmandu,Near Bp Meusem,South East,1,2,10,85.0,32.0,65881.2,32000000.0
840,Kathmandu,Bhangal,West,6,5+,11,255.0,,342.24,65000000.0
842,Kathmandu,Budhanilkantha,North East,8+,5,1,425.0,14.0,21.39,45000000.0
844,Kathmandu,Shankhamul,West,3,1,8,22.0,20.0,21.39,27000000.0
846,Kathmandu,Basundhara,South East,6,4,1,170.0,13.0,1368.96,25000000.0
848,Kathmandu,Sitapaila,South,5,3,8,22.0,13.0,342.24,15500000.0
850,Kathmandu,Dhapasi,North,5,5+,14,170.0,6.0,21.39,58000000.0
852,Kathmandu,Golfutar,East,5,4,7,85.0,16.0,1368.96,32500000.0
854,Kathmandu,Balagau,East,4,2,8,85.0,12.0,1711.2,17500000.0
856,Kathmandu,Basundhara,East,2,1,8,85.0,13.0,342.24,35000000.0
858,Kathmandu,Anamnagar,East,7,4,3,255.0,13.0,342.24,95500000.0
860,Kathmandu,Swoyambhu,East,1,1,1,22.0,,2395.68,30000000.0
862,Kathmandu,Checkpost,East,7,2,1,85.0,,106.95,17000000.0
864,Kathmandu,Budhanilkantha,South East,6,5+,11,85.0,16.0,342.24,68000000.0
866,Kathmandu,Maitidevi,East,1,1,1,22.0,,11636.16,391000000.0
868,Kathmandu,Baneshwor,North East,8+,4,13+,22.0,20.0,342.24,63500000.0
870,Kathmandu,Koteshwor,South East,6,3,1,22.0,16.0,342.24,65000000.0
872,Kathmandu,Budhanilkantha,East,1,1,1,22.0,20.0,1368.96,24000000.0
874,Kathmandu,Balwakhani,East,3,3,7,170.0,12.0,30801.6,27000000.0
876,Kathmandu,Budhanilkantha,East,4,3,1,22.0,16.0,342.24,23000000.0
878,Kathmandu,Chunikhel,North,2,1,4,85.0,13.0,21.39,16000000.0
880,Kathmandu,Hanumanghat,South,1,4,15,85.0,12.0,39849.57,40000000.0
882,Kathmandu,Jhoor,East,1,1,1,22.0,,1368.96,8500000.0
884,Kathmandu,Panipokhari,East,4,1,1,22.0,,1368.96,70000000.0
886,Kathmandu,Balaju,East,4,3,8,85.0,13.0,342.24,26000000.0
888,Kathmandu,Baniyatar,East,8+,5+,15,22.0,20.0,342.24,35000000.0
890,Kathmandu,"Mahankal, Boudha",East,5,2,7,85.0,,342.24,45000000.0
892,Kathmandu,Tahachal,East,1,1,1,22.0,10.0,342.24,39500000.0
894,Kathmandu,Gokarna,East,8+,3,3,170.0,44.0,1818.15,25000000.0
896,Lalitpur,Imadol,Select Direction,7,6,2,85.0,,1368.96,36000000.0
898,Lalitpur,Imadol,Select Direction,7,6,2,85.0,,2053.44,29500000.0
900,Lalitpur,Imadol,South,8,6,2,170.0,,1368.96,48000000.0
902,Lalitpur,Sanagaun,East,2,1,1,85.0,13.0,1026.72,14000000.0
904,Lalitpur,Imadol,West,undefined,undefined,undefined,,13.0,1026.72,24500000.0
906,Lalitpur,Imadol,Select Direction,8,6,2,170.0,,342.24,39000000.0
908,Lalitpur,Tikathali,North,6,4,2,85.0,13.0,21.39,23500000.0
910,Lalitpur,Khumaltar,South East,5,4,1,170.0,13.0,13689.6,39000000.0
912,Lalitpur,Tikathali,South,7,4,1,85.0,13.0,1026.72,25000000.0
914,Lalitpur,Tikathali,West,6,4,1,85.0,13.0,10951.68,25000000.0
916,Lalitpur,Tikathali,North West,7,5,1,85.0,13.0,1368.96,35500000.0
918,Lalitpur,Bhaisepati,South East,6,5,2,170.0,,1711.2,75000000.0
920,Lalitpur,Ima,West,6,4,1,85.0,13.0,1026.72,25000000.0
922,Lalitpur,Imadol,Select Direction,5,4,2,85.0,,1026.72,23500000.0
924,Lalitpur,Imadol,Select Direction,2,1,1,85.0,,1026.72,16500000.0
926,Lalitpur,Dhapakhel,South,5,4,2,85.0,20.0,342.24,26500000.0
928,Lalitpur,Bhaisepati,North East,5,3,2,85.0,13.0,342.24,29000000.0
930,Lalitpur,Imadol,East,4,5,2,85.0,13.0,1026.72,29900000.0
932,Lalitpur,Imadol,Select Direction,4,2,1,85.0,10.0,8213.76,14000000.0
934,Lalitpur,Imadol,East,7,6,1,425.0,13.0,128.34,60000000.0
936,Lalitpur,Harisiddhi Hattiban,South,8,3,2,22.0,,1711.2,33000000.0
938,Lalitpur,Harisiddhi,North,6,3,1,22.0,20.0,8213.76,25000000.0
940,Lalitpur,"Kusunti, Dhobighat",Select Direction,5,2,2,170.0,20.0,8213.76,35000000.0
942,Lalitpur,Imadol,West,7,4,4,85.0,13.0,1368.96,21500000.0
944,Lalitpur,Sital Height,North East,5,2,2,85.0,13.0,1026.72,23000000.0
946,Lalitpur,Imadol,North,8,5,3,,13.0,36961.92,36500000.0
948,Lalitpur,Imadol,East,7,4,2,,20.0,2053.44,67500000.0
950,Lalitpur,Shital Height,East,7,4,2,,26.0,2053.44,56500000.0
952,Lalitpur,Imadol,North East,7,4,2,,14.0,85.56,36500000.0
954,Lalitpur,Tikathali,West,7,4,2,,20.0,85.56,36500000.0
958,Lalitpur,Imadol,South,8,3,3,85.0,13.0,1411.74,28900000.0
960,Lalitpur,Imadol,North,7,4,2,,14.0,85.56,38000000.0
962,Lalitpur,Tikathali,South,7,4,2,,13.0,1368.96,35500000.0
964,Lalitpur,Tikathali,West,3,2,1,,13.0,1026.72,15500000.0
966,Lalitpur,Tikathali,South,6,4,2,,13.0,1026.72,25000000.0
968,Lalitpur,Imadol,West,7,4,2,,13.0,342.24,25000000.0
970,Lalitpur,Khumaltar,East,6,4,2,,20.0,342.24,47000000.0
972,Lalitpur,Tikathali,North East,3,2,1,,13.0,1026.72,16500000.0
974,Lalitpur,Bhaisepati,South East,5,3,1,,13.0,1368.96,45000000.0
976,Lalitpur,Godawari,East,6,4,2,,13.0,12320.64,29000000.0
978,Lalitpur,Imadol,South,6,5,3,85.0,13.0,342.24,35000000.0
980,Lalitpur,Imadol,Select Direction,4,4,2,85.0,13.0,1368.96,35000000.0
982,Lalitpur,Imadol,East,5,3,2,,13.0,85.56,20000000.0
984,Lalitpur,Imadol,East,6,4,2,,16.0,342.24,29000000.0
986,Lalitpur,Shital Height,North East,5,3,2,,13.0,16427.52,23000000.0
988,Lalitpur,Kusunti,East,6,3,2,,13.0,16427.52,35000000.0
990,Lalitpur,Tikathali,East,7,4,2,,13.0,342.24,31000000.0
992,Lalitpur,Kusunti,East,6,3,2,,13.0,342.24,42500000.0
994,Lalitpur,Bhaisepati,East,7,5,2,,13.0,1711.2,37500000.0
996,Lalitpur,Bhaisepati,East,8,5,2,,13.0,2737.92,32000000.0
998,Lalitpur,Bhaisepati,East,6,4,2,,13.0,1368.96,31000000.0
1000,Lalitpur,Nakhipot,East,5,3,1,,12.0,342.24,25000000.0
1002,Lalitpur,Bhaisepati,East,8,5,2,,20.0,1711.2,45000000.0
1004,Lalitpur,Bhaisepati,West,5,3,2,,16.0,342.24,30000000.0
1006,Lalitpur,Bhaisepati,East,5,3,1,,16.0,342.24,29000000.0
1008,Lalitpur,Bhaisepati,South East,5,3,1,,18.0,1368.96,45000000.0
1010,Lalitpur,Bhaisepati,East,7,5,2,,13.0,1711.2,42500000.0
1012,Lalitpur,Karyabinayak,South West,5,3,1,,13.0,1368.96,34000000.0
1014,Lalitpur,Bhaisepati,South,5,3,1,,13.0,1368.96,34500000.0
1016,Lalitpur,Bhaisepati,East,8,5,2,,20.0,4106.88,43500000.0
1018,Lalitpur,Bhaisepati,East,6,4,2,,16.0,342.24,65000000.0
1020,Lalitpur,Bhaisepati,East,6,4,2,,13.0,6160.32,150000000.0
1022,Lalitpur,Bhaisepati,North East,6,4,1,,13.0,12320.64,30000000.0
1024,Lalitpur,Karyabinayak,East,8,5,2,,13.0,2053.44,45000000.0
1026,Lalitpur,Nakhipot,South East,5,3,1,,13.0,342.24,25000000.0
1028,Lalitpur,Hattiban,West,7,5,2,85.0,14.0,342.24,35000000.0
1030,Lalitpur,Thaiba,South,4,3,1,170.0,13.0,342.24,21000000.0
1032,Lalitpur,Imadol,West,6,4,2,,13.0,10951.68,
1034,Lalitpur,Imadol,East,7,6,2,,20.0,10951.68,44000000.0
1036,Lalitpur,Imadol,Select Direction,2,1,1,85.0,14.0,1026.72,15500000.0
1038,Lalitpur,Imadol,East,7,6,2,,20.0,1368.96,38000000.0
1040,Lalitpur,Imadol,Select Direction,8,5,2,85.0,26.0,342.24,35000000.0
1042,Lalitpur,Imadol,East,7,6,2,,13.0,3080.16,31500000.0
1044,Lalitpur,Imadol,West,7,5,2,,13.0,4106.88,
1046,Lalitpur,Lalitpur Lele,East,5,2,3,170.0,20.0,2053.44,6000000.0
1048,Lalitpur,Dhapakhel,North East,6,4,2,,13.0,1711.2,39500000.0
1050,Lalitpur,Imadol,West,5,3,2,85.0,13.0,1026.72,25000000.0
1052,Lalitpur,Imadol,East,7,5,2,85.0,24.0,1026.72,31500000.0
1054,Lalitpur,Imadol,Select Direction,7,5,2,85.0,,342.24,22000000.0
1056,Lalitpur,Nakhu,East,7,5,1,85.0,12.0,1368.96,39000000.0
1058,Lalitpur,Imadol,East,7,4,2,,13.0,2053.44,67500000.0
1060,Lalitpur,Imadol,Select Direction,8,5,2,85.0,,1368.96,39900000.0
1062,Lalitpur,Imadol,Select Direction,8,5,2,85.0,,1368.96,36500000.0
1064,Lalitpur,Imadol,Select Direction,7,5,2,85.0,13.0,4106.88,27500000.0
1066,Lalitpur,Imadol,West,8,4,2,85.0,13.0,342.24,26500000.0
1068,Lalitpur,Imadol,South,8,5,2,85.0,20.0,1026.72,31500000.0
1070,Lalitpur,Imadol,West,3,2,1,,16.0,1368.96,75000.0
1072,Lalitpur,Tikathali,East,2,2,1,,13.0,1026.72,15000000.0
1074,Lalitpur,Tikathali,South East,5,4,1,,13.0,2053.44,49000000.0
1076,Lalitpur,Satdobato Swimming Pool,Select Direction,5,4,2,85.0,,342.24,40000000.0
1078,Lalitpur,Imadol,West,5,3,1,,13.0,342.24,27000000.0
1080,Lalitpur,Tikathali,South,7,4,1,85.0,13.0,1026.72,24500000.0
1082,Lalitpur,Tikathali,North East,undefined,6,1,85.0,13.0,1026.72,25500000.0
1084,Lalitpur,Jhamsikhel Lalitpur,North,6,6,3,85.0,14.0,1026.72,42000000.0
1086,Lalitpur,Satdobato,South East,10,10,4,425.0,13.0,2737.92,110000000.0
1088,Lalitpur,...,South East,6,5,2,85.0,18.0,342.24,52500000.0
1090,Lalitpur,Bhaisepati,South,6,5,2,85.0,20.0,16427.52,39000000.0
1092,Lalitpur,Hattiban,East,6,5,1,170.0,13.0,2395.68,39999000.0
1094,Lalitpur,Hattiban,South,4,3,1,85.0,13.0,8213.76,23000000.0
1096,Lalitpur,"Sanagau, Charghare",North,2,1,1,85.0,20.0,1026.72,13999000.0
1098,Lalitpur,Dhphakhel,East,5,5,1,85.0,16.0,16427.52,54999000.0
1100,Lalitpur,Magargau,East,4,4,1,85.0,16.0,342.24,29999000.0
1102,Lalitpur,Dhapakhel,East,5,3,1,,20.0,20534.4,55000000.0
1104,Lalitpur,Bhaisepati,East,4,3,1,,16.0,342.24,30000000.0
1106,Lalitpur,Imadol,South,6,5,2,85.0,13.0,2053.44,31999000.0
1108,Lalitpur,Imadol,North,6,4,1,85.0,13.0,342.24,32499000.0
1110,Lalitpur,Setipakha,North East,4,3,1,,13.0,342.24,18900000.0
1112,Lalitpur,Tikathali,West,2,1,1,,13.0,1026.72,15500000.0
1116,Lalitpur,Shital Height,North,5,4,1,,13.0,2053.44,29000000.0
1118,Lalitpur,Imadol,North East,5,4,1,,13.0,4106.88,35000000.0
1120,Lalitpur,Tikathali,North East,5,4,2,,13.0,4106.88,29000000.0
1122,Lalitpur,Kumaripati,South West,8,4,1,22.0,8.0,342.24,32500000.0
1124,Lalitpur,Hattiban,East,5,4,2,,20.0,10951.68,51000000.0
1126,Lalitpur,Hattiban,North,5,4,2,,13.0,8213.76,23000000.0
1128,Lalitpur,Imadol,Select Direction,5,5,1,22.0,20.0,342.24,30000000.0
1130,Lalitpur,Imadol,Select Direction,5,4,1,85.0,15.0,1026.72,24500000.0
1132,Lalitpur,Sanagau,North,2,1,1,,13.0,8213.76,14000000.0
1134,Lalitpur,Shital Height,North,6,4,2,,13.0,8213.76,26000000.0
1136,Lalitpur,Imadol,East,8,6,2,,13.0,8213.76,32500000.0
1138,Lalitpur,Siddhipur,South,5,4,2,,20.0,8213.76,21000000.0
1140,Lalitpur,Tikathali,South,7,3,1,85.0,13.0,1026.72,24500000.0
1142,Lalitpur,Imadol,West,6,4,1,85.0,13.0,1026.72,25000000.0
1144,Lalitpur,Imadol,North West,5,3,1,,13.0,10951.68,45000000.0
1146,Lalitpur,Shital Height,East,3,2,1,,13.0,342.24,18000000.0
1148,Lalitpur,Shital Height,South,5,4,2,,20.0,342.24,26000000.0
1150,Lalitpur,Bhaisepati,East,5,4,2,,20.0,2737.92,43500000.0
1152,Lalitpur,Imadol Ochu Height,South,7,5,1,170.0,13.0,342.24,42500000.0
1154,Lalitpur,Imadol Cozy Home,East,5,5,2,170.0,13.0,342.24,42500000.0
1156,Lalitpur,Imadol,West,4,4,2,85.0,13.0,342.24,31000000.0
1158,Lalitpur,Imadol,South,7,4,2,85.0,,4106.88,25000000.0
1160,Lalitpur,Imadol,Select Direction,8,4,2,170.0,24.0,342.24,36500000.0
1162,Lalitpur,Imadol,Select Direction,7,4,2,85.0,,1026.72,21500000.0
1164,Lalitpur,Imadol,East,7,5,2,,13.0,5475.84,38000000.0
1166,Lalitpur,Imadol,East,5,4,2,,13.0,2053.44,32000000.0
1168,Lalitpur,Harisiddhi,East,6,4,2,,13.0,2395.68,40000000.0
1170,Lalitpur,Bhaisepati,South,6,3,2,,16.0,1368.96,28000000.0
1172,Lalitpur,Bhaisepati,North,6,4,1,,16.0,342.24,22000000.0
1174,Lalitpur,Bhaisepati,West,6,4,1,,13.0,2395.68,32500000.0
1176,Lalitpur,Bhaisepati,West,6,3,2,,14.0,16427.52,27000000.0
1178,Lalitpur,Bhaisepati,North,6,3,2,,13.0,342.24,38000000.0
1180,Lalitpur,Imadol,Select Direction,5,3,2,85.0,13.0,342.24,22000000.0
1182,Lalitpur,Imadol,East,7,4,2,85.0,13.0,342.24,32000000.0
1184,Lalitpur,Bhaisepati,East,6,5,2,,16.0,342.24,52500000.0
1186,Lalitpur,Bhaisepati,Select Direction,6,3,3,,13.0,1711.2,30000000.0
1188,Lalitpur,Bhaisepati,South East,5,6,2,,20.0,2395.68,
1190,Lalitpur,Bhaisepati,South East,6,5,2,,20.0,16427.52,39000000.0
1192,Lalitpur,Safaray Dhunga Height,North East,4,4,3,170.0,16.0,2053.44,50000000.0
1194,Lalitpur,Lubhu,South East,4,4,2,170.0,20.0,342.24,30000000.0
1196,Lalitpur,Imadol,North,7,5,1,,16.0,12320.64,39000000.0
1198,Lalitpur,Bhaisepati,East,4,3,1,,20.0,1026.72,32500000.0
1200,Lalitpur,Sanagau,South,7,4,2,,13.0,5475.84,32500000.0
1202,Lalitpur,Shital Height,South,5,4,1,,13.0,2053.44,63000000.0
1204,Lalitpur,Shital Height,South,6,4,1,,13.0,342.24,53500000.0
1206,Lalitpur,Shital Height,South,5,3,2,,13.0,1368.96,39500000.0
1208,Lalitpur,Shital Height,East,7,5,2,,13.0,8213.76,41000000.0
1210,Lalitpur,Shital Height,South,7,5,2,,13.0,5475.84,42000000.0
1212,Lalitpur,Shital Height,South,7,5,2,,13.0,1368.96,42500000.0
1214,Lalitpur,Shital Height,West,5,4,2,,13.0,1026.72,28000000.0
1216,Lalitpur,Shital Height,East,5,4,2,,13.0,10951.68,30000000.0
1218,Lalitpur,Bhaisepati,North,4,5,2,,13.0,1368.96,36500000.0
1220,Lalitpur,Shital Height,South East,5,undefined,2,170.0,16.0,1711.2,39000000.0
1222,Lalitpur,Imadol,West,8,4,2,170.0,20.0,1026.72,31000000.0
1224,Lalitpur,Bhaisepati,North,4,3,2,,16.0,1368.96,41000000.0
1226,Lalitpur,Imadol,South,8,4,2,,13.0,4106.88,33500000.0
1228,Lalitpur,Imadol,Select Direction,undefined,7,2,85.0,16.0,1026.72,25000000.0
1230,Lalitpur,Imadol,North East,5,3,2,,13.0,342.24,23000000.0
1232,Lalitpur,Imadol,North East,5,4,2,170.0,20.0,342.24,21000000.0
1234,Lalitpur,Nakhipot,East,5,4,1,170.0,20.0,1711.2,47500000.0
1236,Lalitpur,Nakhipot,North,6,2,2,85.0,13.0,10951.68,39000000.0
1238,Lalitpur,Tikathali,North,4,2,2,85.0,13.0,5475.84,32500000.0
1240,Lalitpur,Tikathali,South,6,3,2,85.0,13.0,0.0,26500000.0
1242,Lalitpur,Tikathali,South,6,4,2,85.0,13.0,8213.76,31500000.0
1244,Lalitpur,Sanagaun,North,6,2,2,170.0,13.0,1026.72,26000000.0
1246,Lalitpur,Imadol,North,8,4,2,,13.0,2737.92,38500000.0
1248,Lalitpur,Tikathali,West,6,4,3,22.0,20.0,1368.96,35000000.0
1250,Lalitpur,Dhapakhel,South,4,5,2,85.0,10.0,1026.72,29500000.0
1252,Lalitpur,Sanagaun,South,5,4,2,,20.0,5475.84,33500000.0
1254,Lalitpur,Bhaisepati,East,undefined,undefined,undefined,85.0,20.0,342.24,35000000.0
1256,Lalitpur,Bhaisepati,Select Direction,4,3,2,,13.0,342.24,45000000.0
