,District,VDC,Direction,Bedroom,Bathroom,Living,Parking_sqft,Road_size_ft,Land_sqft,Price
156,Kathmandu,Gothatar,North,6,4,2,,13.0,1026.72,26500000.0
158,Kathmandu,Pepsicola,West,8,6,2,,13.0,342.24,32500000.0
160,Kathmandu,Kalanki,East,4,4,2,85.0,10.0,2053.44,60000000.0
162,Kathmandu,Pepsicola,East,6,5,2,,22.0,342.24,33500000.0
164,Kathmandu,Ganesh Chowk,East,5,4,2,,16.0,342.24,40000000.0
166,Kathmandu,Pasikot,South East,6,5,2,,20.0,2053.44,
168,Kathmandu,Hattigauda,West,5,6,2,,20.0,342.24,
170,Kathmandu,Bala,South,7,6,3,85.0,8.0,1026.72,18500000.0
172,Kathmandu,Main Road Karuna Hospital,South East,2,4,2,22.0,26.0,342.24,20000000.0
174,Kathmandu,Imadol,West,11,6,2,85.0,20.0,1368.96,44500000.0
176,Kathmandu,Hattigauda,West,4,3,1,,13.0,1368.96,37000000.0
178,Kathmandu,Hattigauda,East,5,8,2,,13.0,1401815.04,
180,Kathmandu,Koteshwor,East,12,6,12,425.0,,1860.93,66000000.0
182,Kathmandu,Chapali,North West,5,4,1,,14.0,342.24,39000000.0
184,Kathmandu,Ramailo Danda,South,6,5,2,85.0,12.0,36961.92,21500000.0
186,Kathmandu,Pasikot,West,4,2,1,,13.0,1368.96,41000000.0
188,Kathmandu,Pasikot,East,4,2,1,,20.0,1711.2,47500000.0
190,Kathmandu,Hattigauda,West,4,2,1,,13.0,1368.96,37000000.0
192,Kathmandu,Hattigauda,West,4,2,1,,16.0,8213.76,55000000.0
194,Kathmandu,Payuntar,South East,8,4,2,22.0,,1368.96,18000000.0
196,Kathmandu,Akasaydar Chock,North West,4,4,2,22.0,13.0,342.24,38500000.0
198,Kathmandu,Ganesh Chock,East,5,4,1,170.0,,16427.52,45000000.0
200,Kathmandu,Budhanilkantha,South,6,4,1,170.0,13.0,342.24,43500000.0
